L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
0,0,18,32,10,-5,1168.0,1840.0,-486.0,-29.0,976.0,-111.0,314.0
0,0,75,-18,0,-5,1168.0,676.0,-179.0,-97.0,624.0,-318.0,581.0
0,0,107,-29,-2,-5,1168.0,715.0,-361.0,1052.0,887.0,14.0,354.0
0,0,121,-29,-3,-4,1121.0,660.0,-432.0,1190.0,902.0,-224.0,278.0
0,0,102,-30,-3,-5,1121.0,189.0,-151.0,597.0,604.0,-148.0,145.0
48,13,-12,-30,-2,-4,1121.0,720.0,-424.0,688.0,1039.0,-246.0,52.0
61,35,-14,-30,-2,-5,1121.0,97.0,160.0,976.0,1266.0,-374.0,-259.0
13,9,-16,-21,-2,0,1121.0,1754.0,-23.0,422.0,919.0,-156.0,455.0
0,1,-17,-20,-2,2,1121.0,771.0,-252.0,121.0,786.0,-111.0,214.0
0,0,-16,-21,-3,4,1121.0,791.0,-408.0,408.0,831.0,-171.0,319.0
0,0,-16,-22,-2,6,1121.0,972.0,-350.0,30.0,914.0,-41.0,265.0
0,0,-15,-21,-2,6,149.0,1061.0,-59.0,175.0,970.0,-48.0,277.0
0,0,-16,-19,-2,-1,149.0,43.0,-18.0,1083.0,315.0,-99.0,-202.0
0,0,-3,24,2,-5,8191.0,1734.0,-457.0,1048.0,1574.0,-21.0,78.0
0,0,39,16,13,-4,1103.0,1448.0,-542.0,-380.0,868.0,75.0,408.0
0,0,92,-27,-2,-5,1172.0,1121.0,-411.0,617.0,1021.0,-222.0,380.0
0,0,100,-30,-2,-5,1172.0,634.0,-431.0,557.0,755.0,-70.0,376.0
0,0,110,-30,-2,-5,1157.0,449.0,-456.0,802.0,883.0,-259.0,314.0
0,0,118,-30,-2,-5,8191.0,449.0,-148.0,664.0,864.0,-190.0,157.0
14,4,22,-30,-3,-5,8191.0,1400.0,-370.0,471.0,752.0,-224.0,142.0
70,20,-14,-29,-2,-5,8191.0,348.0,96.0,945.0,1293.0,-391.0,-125.0
22,21,-16,-19,-2,2,8191.0,602.0,-563.0,156.0,1180.0,-292.0,501.0
0,0,-17,-22,-2,5,8191.0,827.0,-68.0,239.0,912.0,19.0,154.0
0,0,-19,-25,-2,2,8191.0,1000.0,-176.0,114.0,825.0,-86.0,277.0
0,0,-15,-29,-2,12,8191.0,855.0,-504.0,389.0,953.0,-30.0,240.0
0,0,-13,-28,-2,13,8191.0,1022.0,-243.0,349.0,1004.0,0.0,230.0
0,0,-12,-23,-3,4,133.0,242.0,-31.0,771.0,388.0,-56.0,-103.0
0,0,-12,14,0,-5,133.0,1005.0,-462.0,1069.0,1413.0,36.0,-117.0
0,0,33,38,10,-5,1052.0,1564.0,-635.0,-317.0,1084.0,-82.0,162.0
0,0,77,-20,-1,-5,1143.0,1062.0,-95.0,164.0,726.0,-402.0,578.0
